Time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Power [Watt]
0.012,-178,-88.112,115.78,-57.178,59.961,-304.61,7.097
0.024,-178,-88.112,115.78,-57.178,59.961,-304.61,11.618
0.036,-178,-88.112,115.78,-57.178,59.961,-304.61,0.56035
0.048,-178,-88.112,115.78,-57.178,59.961,-304.61,9.5641
0.06,-178,-88.112,115.78,-57.178,59.961,-304.61,0
0.072,-178,-88.112,115.78,-57.178,59.961,-304.61,8.4572
0.084,-178,-88.112,115.78,-57.178,59.961,-304.61,7.7729
0.096,-178,-88.112,115.78,-57.178,59.961,-304.61,2.5951
0.108,-178,-88.112,115.78,-57.178,59.961,-304.61,12.141
0.12,-178,-88.112,115.78,-57.178,59.961,-304.61,32.702
0.132,-178,-88.112,115.78,-57.178,59.961,-304.61,64.384
0.144,-178,-88.112,115.78,-57.178,59.961,-304.61,128.67
0.156,-178,-88.112,115.78,-57.178,59.961,-304.61,172.13
0.168,-178,-88.112,115.78,-57.178,59.961,-304.61,214.77
0.18,-178,-88.112,115.78,-57.178,59.961,-304.61,235.93
0.192,-178,-88.112,115.78,-57.178,59.961,-304.61,255.2
0.204,-178,-88.112,115.78,-57.178,59.961,-304.61,281.54
0.216,-178,-88.112,115.78,-57.178,59.961,-304.61,282.8
0.228,-178,-88.112,115.78,-57.178,59.961,-304.61,292.07
0.24,-178,-88.112,115.78,-57.178,59.961,-304.61,292.55
0.252,-178,-88.112,115.78,-57.178,59.961,-304.61,291.55
0.264,-178,-88.112,115.78,-57.178,59.961,-304.61,290.87
0.276,-178,-88.112,115.78,-57.178,59.961,-304.61,288.58
0.288,-178,-88.112,115.78,-57.178,59.961,-304.61,303.32
0.3,-178,-88.112,115.78,-57.178,59.961,-304.61,308.78
0.312,-178,-88.112,115.78,-57.178,59.961,-304.61,315.66
0.324,-178,-88.112,115.78,-57.178,59.961,-304.61,338.56
0.336,-178,-88.112,115.78,-57.178,59.961,-304.61,318.57
0.348,-178,-88.112,115.78,-57.178,59.961,-304.61,315.78
0.36,-178,-88.112,115.78,-57.178,59.961,-304.61,313.26
