Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,546.9977813434801
0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,568.8164364800188
0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,571.7219061982988
0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,590.8090805626957
0.06,-182.669,-90.0062,89.449,0.0029,-89.4598,180.011,559.3728082433855
0.07200000000000001,-182.46099999999998,-90.0062,89.102,0.0029,-89.1287,180.011,552.80473930458
0.084,-182.18200000000002,-90.0062,88.6362,0.0029,-88.6843,180.011,585.5641267877347
0.096,-181.825,-90.0062,88.0399,0.0029,-88.1153,180.011,534.6786703092944
0.10800000000000001,-181.387,-90.0062,87.3087,0.0029,-87.4177,180.011,549.2963937725643
0.12,-180.87,-90.0062,86.4446,0.0029,-86.5931,180.011,583.7044184222277
0.132,-180.27599999999998,-90.0062,85.4536,0.0029,-85.6475,180.011,544.606447470044
0.14400000000000002,-179.613,-90.0062,84.3448,0.0029,-84.5896,180.011,602.0127347400932
0.156,-178.885,-90.0062,83.1297,0.0029,-83.4303,180.011,734.4685988853589
0.168,-178.101,-90.0062,81.8201,0.0029,-82.1808,180.011,1108.0920906097074
0.18,-177.268,-90.0062,80.4291,0.0029,-80.8537,180.011,1858.147261821637
0.192,-176.394,-90.0062,78.9697,0.0029,-79.4611,180.011,2954.9292537620836
0.204,-175.487,-90.0062,77.454,0.0029,-78.015,180.011,4670.795233097604
0.21600000000000003,-174.553,-90.0062,75.8936,0.0029,-76.5263,180.011,6591.758363317857
0.228,-173.59799999999998,-90.0062,74.2992,0.0029,-75.0049,180.011,8624.022975871852
0.24,-172.62900000000002,-90.0062,72.6797,0.0029,-73.4597,180.011,10466.557972758459
0.252,-171.648,-90.0062,71.0428,0.0029,-71.8979,180.011,11732.418989124135
0.264,-170.66099999999997,-90.0062,69.3946,0.0029,-70.3254,180.011,12727.066775812023
0.276,-169.666,-90.0062,67.7404,0.0029,-68.7471,180.011,13210.70097934388
0.28800000000000003,-168.66299999999998,-90.0062,66.0845,0.0029,-67.1671,180.011,13219.658973857764
0.3,-167.648,-90.0062,64.4285,0.0029,-65.5871,180.011,12586.762469274287
0.312,-166.614,-90.0062,62.7726,0.0029,-64.0071,180.011,11646.339611054884
0.324,-165.551,-90.0062,61.1169,0.0029,-62.4273,180.011,10984.59431692007
0.336,-164.451,-90.0062,59.4653,0.0029,-60.8516,180.011,9213.076267823599
0.348,-163.309,-90.0062,57.8272,0.0029,-59.2886,180.011,8734.686158440405
0.36,-162.121,-90.0062,56.2142,0.0029,-57.7496,180.011,7504.886319039941
0.37200000000000005,-160.885,-90.0062,54.6391,0.0029,-56.2467,180.011,6233.199297206545
0.384,-159.599,-90.0062,53.1149,0.0029,-54.7924,180.011,5546.482385236451
0.396,-158.266,-90.0061,51.6535,0.0029,-53.3981,180.011,5012.468617073932
0.408,-156.886,-90.0061,50.2655,0.0029,-52.0737,180.011,4061.106855345297
0.42,-155.461,-90.0061,48.96,0.0029,-50.8281,180.011,4100.71255950052
0.43200000000000005,-153.995,-90.0061,47.7439,0.0029,-49.6679,180.011,4308.896052358856
0.444,-152.491,-90.0061,46.6225,0.0029,-48.5979,180.011,4438.8309955779805
0.456,-150.953,-90.0061,45.5981,0.0029,-47.6205,180.011,5759.313190292068
0.46799999999999997,-149.385,-90.0061,44.6703,0.0029,-46.7353,180.011,6151.016458705873
0.48,-147.79,-90.0061,43.8361,0.0029,-45.9393,180.011,5293.6276354008005
