,Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0,0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,564.4786569774175
1,0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,547.1212196063666
2,0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,555.423435048169
3,0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,585.5625004904867
4,0.06,-182.669,-90.0062,89.4491,0.0029,-89.4598,180.011,520.0185869645683
5,0.07200000000000001,-182.46099999999998,-90.0062,89.1021,0.0029,-89.1288,180.011,559.0360549831076
6,0.084,-182.18400000000003,-90.0062,88.6399,0.0029,-88.6878,180.011,550.1830482409788
7,0.096,-181.834,-90.0062,88.0545,0.0029,-88.1292,180.011,554.3818802176185
8,0.10800000000000001,-181.408,-90.0062,87.3431,0.0029,-87.4505,180.011,591.0942604611531
9,0.12,-180.908,-90.0062,86.5076,0.0029,-86.6533,180.011,554.2640686285639
10,0.132,-180.33599999999998,-90.0062,85.5531,0.0029,-85.7425,180.011,582.2834127913163
11,0.14400000000000002,-179.69799999999998,-90.0062,84.4867,0.0029,-84.725,180.011,576.9436957156797
12,0.156,-178.998,-90.0062,83.3176,0.0029,-83.6096,180.011,788.2375818179058
13,0.168,-178.24200000000002,-90.0062,82.0556,0.0029,-82.4055,180.011,1174.8418719220836
14,0.18,-177.438,-90.0062,80.712,0.0029,-81.1236,180.011,1909.6709467925987
15,0.192,-176.59099999999998,-90.0062,79.2978,0.0029,-79.7741,180.011,3138.6230088934794
16,0.204,-175.708,-90.0062,77.8238,0.0029,-78.3678,180.011,4741.044534503275
17,0.21600000000000003,-174.796,-90.0062,76.3006,0.0029,-76.9145,180.011,6577.456830879416
18,0.228,-173.861,-90.0062,74.738,0.0029,-75.4236,180.011,8088.14101168304
19,0.24,-172.907,-90.0062,73.1448,0.0029,-73.9034,180.011,9643.580479196129
20,0.252,-171.93900000000002,-90.0062,71.528,0.0029,-72.3609,180.011,10805.254496296526
21,0.264,-170.96,-90.0062,69.8941,0.0029,-70.8019,180.011,11559.417640429265
22,0.276,-169.972,-90.0062,68.2482,0.0029,-69.2316,180.011,12309.879260517262
23,0.28800000000000003,-168.97400000000002,-90.0062,66.5958,0.0029,-67.6549,180.011,12376.1712707605
24,0.3,-167.96400000000003,-90.0062,64.9404,0.0029,-66.0755,180.011,12199.105522233605
25,0.312,-166.93599999999998,-90.0062,63.2844,0.0029,-64.4955,180.011,11392.91598660255
26,0.324,-165.88299999999998,-90.0062,61.6284,0.0029,-62.9154,180.011,11036.081943277262
27,0.336,-164.797,-90.0062,59.9772,0.0029,-61.3399,180.011,9630.356057537834
28,0.348,-163.672,-90.0062,58.339,0.0029,-59.777,180.011,8891.217937872603
29,0.36,-162.505,-90.0062,56.7248,0.0029,-58.2368,180.011,7908.314178471247
30,0.37200000000000005,-161.292,-90.0062,55.1462,0.0029,-56.7306,180.011,6962.197482704973
31,0.384,-160.032,-90.0062,53.6153,0.0029,-55.2698,180.011,6089.522070182665
32,0.396,-158.725,-90.0061,52.1434,0.0029,-53.8655,180.011,5786.6042405932585
33,0.408,-157.372,-90.0061,50.7405,0.0029,-52.5269,180.011,4887.918948742135
34,0.42,-155.974,-90.0061,49.4156,0.0029,-51.2628,180.011,4484.5202495810645
35,0.43200000000000005,-154.533,-90.0061,48.1758,0.0029,-50.0799,180.011,4793.300273273809
36,0.444,-153.053,-90.0061,47.027,0.0029,-48.9838,180.011,4408.861613057987
37,0.456,-151.536,-90.0061,45.9725,0.0029,-47.9777,180.011,5451.3773335583055
38,0.46799999999999997,-149.987,-90.0061,45.013000000000005,0.0029,-47.0622,180.011,5668.1082163363735
39,0.48,-148.408,-90.0061,44.1469,0.0029,-46.2358,180.011,5051.706503071619
40,0.49200000000000005,-146.804,-90.0061,43.3703,0.0029,-45.4949,180.011,4835.5448106722615
41,0.504,-145.179,-90.0061,42.6781,0.0029,-44.8345,180.011,4291.645258605133
42,0.516,-143.537,-90.0061,42.0646,0.0029,-44.2492,180.011,3083.407282947104
43,0.528,-141.881,-90.0061,41.5241,0.0029,-43.7334,180.011,2650.4566367958705
44,0.54,-140.215,-90.0062,41.0506,0.0029,-43.2816,180.011,1984.990748588525
45,0.552,-138.542,-90.0062,40.6386,0.0029,-42.8886,180.011,1543.1872650918501
46,0.564,-136.864,-90.0062,40.2826,0.0029,-42.5489,180.011,1610.562097420197
47,0.5760000000000001,-135.185,-90.0062,39.9775,0.0029,-42.2578,180.011,1518.5348164987633
48,0.588,-133.505,-90.0062,39.7183,0.0029,-42.0104,180.011,1468.6374816912366
49,0.6,-131.825,-90.0062,39.5001,0.0029,-41.8022,180.011,1542.5279252502955
50,0.612,-130.145,-90.0062,39.3186,0.0029,-41.629,180.011,1555.4007081883208
51,0.624,-128.465,-90.0062,39.1695,0.0029,-41.4869,180.011,1593.776328821653
52,0.636,-126.785,-90.0062,39.0491,0.0029,-41.372,180.011,1659.9878650609787
53,0.648,-125.105,-90.0062,38.9537,0.0029,-41.2809,180.011,1957.3697081516334
54,0.66,-123.425,-90.0062,38.8795,0.0029,-41.21,180.011,2038.3756661862328
