Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,542.1142681228786
0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,574.2227163915912
0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,535.4344026149282
0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,572.36183240115
0.06,-182.669,-90.0062,89.449,0.0029,-89.4598,180.011,578.1193556448454
0.07200000000000001,-182.46099999999998,-90.0062,89.102,0.0029,-89.1287,180.011,557.6923320246499
0.084,-182.18200000000002,-90.0062,88.6357,0.0029,-88.6838,180.011,566.5532008979418
0.096,-181.82299999999998,-90.0062,88.0363,0.0029,-88.1118,180.011,545.4990630051627
0.10800000000000001,-181.38299999999998,-90.0062,87.3012,0.0029,-87.4105,180.011,612.2957162141767
0.12,-180.862,-90.0062,86.4312,0.0029,-86.5804,180.011,596.0243961028175
0.132,-180.26,-90.0062,85.4266,0.0029,-85.6218,180.011,547.7224317032055
0.14400000000000002,-179.579,-90.0062,84.2893,0.0029,-84.5366,180.011,674.2385529666623
0.156,-178.828,-90.0062,83.0345,0.0029,-83.3394,180.011,972.056784396369
0.168,-178.017,-90.0062,81.6792,0.0029,-82.0464,180.011,1636.7123073126584
0.18,-177.15599999999998,-90.0062,80.241,0.0029,-80.6741,180.011,2497.572440865711
0.192,-176.25400000000002,-90.0062,78.7358,0.0029,-79.238,180.011,4093.5285142013913
0.204,-175.322,-90.0062,77.1779,0.0029,-77.7516,180.011,5960.673901973523
0.21600000000000003,-174.365,-90.0062,75.5795,0.0029,-76.2265,180.011,8059.596418179412
0.228,-173.39,-90.0062,73.9523,0.0029,-74.6739,180.011,10132.768259184271
0.24,-172.405,-90.0062,72.3065,0.0029,-73.1036,180.011,11453.07353800443
0.252,-171.41400000000002,-90.0062,70.6516,0.0029,-71.5247,180.011,13011.911000392625
0.264,-170.421,-90.0062,68.9954,0.0029,-69.9444,180.011,15007.455892048732
0.276,-169.424,-90.0062,67.3394,0.0029,-68.3645,180.011,15151.380249534921
0.28800000000000003,-168.419,-90.0062,65.6835,0.0029,-66.7845,180.011,13915.725230616486
0.3,-167.4,-90.0062,64.0274,0.0029,-65.2045,180.011,12807.905512390518
0.312,-166.359,-90.0062,62.3714,0.0029,-63.6244,180.011,11619.243097736544
0.324,-165.287,-90.0062,60.7155,0.0029,-62.0444,180.011,9508.05251266782
0.336,-164.173,-90.0062,59.059,0.0029,-60.4639,180.011,8279.010115294264
0.348,-163.006,-90.0062,57.4073,0.0029,-58.888000000000005,180.011,7268.40024467541
0.36,-161.785,-90.0062,55.7756,0.0029,-57.3311,180.011,5733.511768474226
0.37200000000000005,-160.509,-90.0062,54.1815,0.0029,-55.8101,180.011,4737.62221827064
0.384,-159.18,-90.0061,52.6421,0.0029,-54.3414,180.011,4199.644763487587
0.396,-157.80200000000002,-90.0061,51.1729,0.0029,-52.9395,180.011,3382.080854887847
0.408,-156.378,-90.0061,49.7859,0.0029,-51.6161,180.011,3879.7369500578616
0.42,-154.91299999999998,-90.0061,48.4903,0.0029,-50.38,180.011,4341.784333670278
0.43200000000000005,-153.41,-90.0061,47.2929,0.0029,-49.2375,180.011,4329.114784681131
0.444,-151.874,-90.0061,46.1972,0.0029,-48.1921,180.011,5513.777947536769
0.456,-150.309,-90.0061,45.2035,0.0029,-47.2439,180.011,6643.47644272933
0.46799999999999997,-148.719,-90.0061,44.3091,0.0029,-46.3906,180.011,7275.843786392888
0.48,-147.106,-90.0061,43.5092,0.0029,-45.6274,180.011,7070.379896501099
0.49200000000000005,-145.475,-90.0061,42.7976,0.0029,-44.9485,180.011,5309.320802341872
0.504,-143.828,-90.0061,42.1677,0.0029,-44.3475,180.011,3652.8740895614546
0.516,-142.16899999999998,-90.0061,41.613,0.0029,-43.8182,180.011,2798.749120289976
0.528,-140.501,-90.0062,41.1272,0.0029,-43.3548,180.011,1284.0477089704577
0.54,-138.826,-90.0062,40.7044,0.0029,-42.9513,180.011,797.852523579936
0.552,-137.14700000000002,-90.0062,40.3389,0.0029,-42.6026,180.011,611.3182384089504
0.564,-135.467,-90.0062,40.0254,0.0029,-42.3035,180.011,517.4855742816447
0.5760000000000001,-133.787,-90.0062,39.7588,0.0029,-42.0491,180.011,643.027480165424
0.588,-132.107,-90.0062,39.534,0.0029,-41.8346,180.011,861.1072483527556
0.6,-130.42700000000002,-90.0062,39.3467,0.0029,-41.6558,180.011,1129.211920513807
0.612,-128.747,-90.0062,39.1925,0.0029,-41.5087,180.011,1227.5756483662424
0.624,-127.06700000000001,-90.0062,39.0675,0.0029,-41.3895,180.011,1387.9216184758138
0.636,-125.387,-90.0062,38.9681,0.0029,-41.2947,180.011,1600.856081108679
0.648,-123.70700000000001,-90.0062,38.8906,0.0029,-41.2206,180.011,1861.9375436170947
0.66,-122.027,-90.0062,38.8316,0.0029,-41.1644,180.011,1860.6597237784886
0.672,-120.34700000000001,-90.0062,38.7878,0.0029,-41.1226,180.011,2125.366519585346
0.684,-118.667,-90.0062,38.7565,0.0029,-41.0929,180.011,1941.356499186519
0.696,-116.98700000000001,-90.0062,38.7352,0.0029,-41.0725,180.011,1625.9466283463616
0.708,-115.307,-90.0062,38.7215,0.0029,-41.0594,180.011,1788.0720204023946
0.72,-113.62700000000001,-90.0062,38.7134,0.0029,-41.0516,180.011,1828.9190642043557
0.732,-111.947,-90.0062,38.709,0.0029,-41.0474,180.011,1878.737572082867
0.7440000000000001,-110.26700000000001,-90.0062,38.7069,0.0029,-41.0454,180.011,2238.9885162735177
0.7559999999999999,-108.587,-90.0062,38.7063,0.0029,-41.0448,180.011,2436.903719973745
0.768,-106.90700000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2568.0975029068672
0.78,-105.227,-90.0062,38.7062,0.0029,-41.0447,180.011,2348.2958784815482
0.792,-103.54700000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2204.236499807031
0.804,-101.867,-90.0062,38.7062,0.0029,-41.0447,180.011,2168.5428034770853
0.816,-100.18700000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2024.8678601237127
0.828,-98.5071,-90.0062,38.7062,0.0029,-41.0447,180.011,2244.099353182005
0.84,-96.82700000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2450.611364908528
0.852,-95.1471,-90.0062,38.7062,0.0029,-41.0447,180.011,2488.5051934415833
0.8640000000000001,-93.4671,-90.0062,38.7062,0.0029,-41.0447,180.011,2586.9517527650523
0.8759999999999999,-91.7871,-90.0062,38.7062,0.0029,-41.0447,180.011,2349.8257848888484
0.888,-90.1071,-90.0062,38.7062,0.0029,-41.0447,180.011,2352.948594434301
0.9,-88.4271,-90.0062,38.7062,0.0029,-41.0447,180.011,2152.1195800098617
0.912,-86.7471,-90.0062,38.7062,0.0029,-41.0447,180.011,2090.9847853508886
0.924,-85.0671,-90.0062,38.7062,0.0029,-41.0447,180.011,2292.3794643692745
0.9359999999999999,-83.3871,-90.0062,38.7062,0.0029,-41.0447,180.011,2411.732369422049
0.948,-81.7071,-90.0062,38.7062,0.0029,-41.0447,180.011,2564.286033386049
0.96,-80.0271,-90.0062,38.7062,0.0029,-41.0447,180.011,2571.3541410298726
0.972,-78.347,-90.0062,38.7062,0.0029,-41.0447,180.011,2380.2341830316486
0.9840000000000001,-76.6671,-90.0062,38.7062,0.0029,-41.0447,180.011,2149.9300945841787
0.996,-74.9872,-90.0062,38.7062,0.0029,-41.0447,180.011,2177.915199992638
1.008,-73.3076,-90.0062,38.7062,0.0029,-41.0447,180.011,2181.603656136942
1.02,-71.6274,-90.0062,38.7062,0.0029,-41.0447,180.011,2296.114766960773
1.032,-69.9464,-90.0062,38.7064,0.0029,-41.0447,180.011,2490.3082413927136
1.044,-68.2668,-90.006,38.7071,0.0029,-41.0447,180.011,2478.22312419252
1.056,-66.5868,-90.0054,38.7097,0.0029,-41.0444,180.011,2423.5382109994407
1.068,-64.907,-90.0041,38.7158,0.0029,-41.0437,180.011,2338.8896618763074
1.08,-63.2273,-90.0014,38.7275,0.0029,-41.0424,180.011,2198.9381962053876
1.092,-61.5473,-89.9968,38.7479,0.0029,-41.0402,180.011,2262.7237495028016
1.104,-59.868,-89.9894,38.7805,0.0029,-41.0366,180.011,2170.9525384826643
1.1159999999999999,-58.1939,-89.9783,38.8294,0.0029,-41.0312,180.011,2241.5015375915636
1.128,-56.5268,-89.9624,38.8998,0.0029,-41.0234,180.011,2559.227416894687
1.14,-54.8689,-89.9402,38.9972,0.0029,-41.0127,180.011,2370.793677600614
1.1520000000000001,-53.2245,-89.9107,39.1278,0.0029,-40.9983,180.011,2577.235289560369
1.1640000000000001,-51.5962,-89.8721,39.2978,0.0029,-40.9796,180.011,2340.401253819895
1.176,-49.9867,-89.8232,39.5134,0.0029,-40.9558,180.011,1896.4803719837914
1.188,-48.4012,-89.7626,39.7811,0.0029,-40.9264,180.011,2317.96131229079
1.2,-46.8435,-89.6885,40.1078,0.0029,-40.8904,180.011,2285.3741246105897
1.212,-45.316,-89.5993,40.5013,0.0029,-40.847,180.011,2305.7758974240824
1.224,-43.826,-89.4933,40.9689,0.0029,-40.7955,180.011,2598.6836449159155
1.236,-42.3797,-89.369,41.5175,0.0029,-40.735,180.011,2111.1350897623233
1.248,-40.9846,-89.2249,42.1537,0.0029,-40.665,180.011,1708.8497704783576
1.26,-39.6492,-89.0598,42.8817,0.0029,-40.5849,180.011,1586.1725176669736
1.272,-38.3851,-88.8738,43.7025,0.0029,-40.4944,180.011,1380.9157622214057
1.284,-37.2022,-88.6671,44.6145,0.0029,-40.3939,180.011,1142.5911515137877
1.296,-36.1106,-88.4412,45.611000000000004,0.00290001,-40.2841,180.011,1036.3575267226006
1.308,-35.1163,-88.1979,46.6845,0.00289996,-40.1659,180.011,1209.2176494005898
1.32,-34.2231,-87.9393,47.8255,0.00290018,-40.0403,180.011,1171.5577500359086
1.3319999999999999,-33.4293,-87.6669,49.0269,0.00289928,-39.9079,180.011,1359.8599137333968
1.344,-32.7317,-87.3825,50.2821,0.00290281,-39.7697,180.011,1729.1825634165377
1.3559999999999999,-32.1257,-87.0874,51.5839,0.00288933,-39.6263,180.011,1617.4064831184369
1.368,-31.6044,-86.7831,52.9268,0.00295457,-39.4783,180.011,1895.9136076754937
1.38,-31.1594,-86.4702,54.3073,0.00301037,-39.3263,180.011,2329.991035555112
1.392,-30.7829,-86.1494,55.7225,0.00299711,-39.1704,180.011,2320.221994378726
