Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0.7440000000000001,-110.41799999999999,-90.0062,38.707,0.0029,-41.0455,180.011,2247.2481900053795
0.7559999999999999,-108.738,-90.0062,38.7064,0.0029,-41.0449,180.011,2468.1516233079246
0.768,-107.05799999999999,-90.0062,38.7062,0.0029,-41.0447,180.011,2595.82318856199
0.78,-105.37799999999999,-90.0062,38.7062,0.0029,-41.0447,180.011,2482.5926930231026
0.792,-103.698,-90.0062,38.7062,0.0029,-41.0447,180.011,2215.2872451124463
0.804,-102.01799999999999,-90.0062,38.7062,0.0029,-41.0447,180.011,2212.076390809879
0.816,-100.338,-90.0062,38.7062,0.0029,-41.0447,180.011,2136.97298086946
0.828,-98.6583,-90.0062,38.7062,0.0029,-41.0447,180.011,2228.551727126602
0.84,-96.9784,-90.0062,38.7062,0.0029,-41.0447,180.011,2489.5727352963686
0.852,-95.2983,-90.0062,38.7062,0.0029,-41.0447,180.011,2455.9961251826744
0.8640000000000001,-93.6184,-90.0062,38.7062,0.0029,-41.0447,180.011,2639.300255032739
0.8759999999999999,-91.9383,-90.0062,38.7062,0.0029,-41.0447,180.011,2472.742160255441
0.888,-90.2583,-90.0062,38.7062,0.0029,-41.0447,180.011,2301.5578516577716
0.9,-88.5783,-90.0062,38.7062,0.0029,-41.0447,180.011,2283.4621040710535
0.912,-86.8984,-90.0062,38.7062,0.0029,-41.0447,180.011,2102.436042943227
0.924,-85.2183,-90.0062,38.7062,0.0029,-41.0447,180.011,2276.4884284094396
0.9359999999999999,-83.5383,-90.0062,38.7062,0.0029,-41.0447,180.011,2424.7854346957743
0.948,-81.8583,-90.0062,38.7062,0.0029,-41.0447,180.011,2479.9350474949365
0.96,-80.1783,-90.0062,38.7062,0.0029,-41.0447,180.011,2651.234876354858
0.972,-78.4984,-90.0062,38.7062,0.0029,-41.0447,180.011,2448.4136877828323
0.9840000000000001,-76.8183,-90.0062,38.7062,0.0029,-41.0447,180.011,2284.322970391782
0.996,-75.1384,-90.0062,38.7062,0.0029,-41.0447,180.011,2196.902955637829
1.008,-73.4588,-90.0062,38.7062,0.0029,-41.0447,180.011,2206.195664317516
1.02,-71.7788,-90.0062,38.7062,0.0029,-41.0447,180.011,2344.5307025559564
1.032,-70.0976,-90.0062,38.7063,0.0029,-41.0447,180.011,2450.935296307994
1.044,-68.4179,-90.0061,38.707,0.0029,-41.0447,180.011,2504.174756587369
