,Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0,0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,548.2651825914729
1,0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,595.257704517855
2,0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,543.439728611145
3,0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,576.102446604302
4,0.06,-182.669,-90.0062,89.449,0.0029,-89.4598,180.011,567.1398448361763
5,0.07200000000000001,-182.46099999999998,-90.0062,89.102,0.0029,-89.1287,180.011,546.3209853992156
6,0.084,-182.18200000000002,-90.0062,88.6357,0.0029,-88.6838,180.011,600.8044497838586
7,0.096,-181.82299999999998,-90.0062,88.0363,0.0029,-88.1118,180.011,537.7217022366877
8,0.10800000000000001,-181.38299999999998,-90.0062,87.3012,0.0029,-87.4105,180.011,558.7822868897252
9,0.12,-180.862,-90.0062,86.4312,0.0029,-86.5804,180.011,558.2934009656244
10,0.132,-180.261,-90.0062,85.4284,0.0029,-85.6235,180.011,578.611814296746
11,0.14400000000000002,-179.58700000000002,-90.0062,84.3013,0.0029,-84.5482,180.011,619.373799990828
12,0.156,-178.845,-90.0062,83.0623,0.0029,-83.366,180.011,764.6152785973857
13,0.168,-178.044,-90.0062,81.7255,0.0029,-82.0906,180.011,1269.3654564128562
14,0.18,-177.19400000000002,-90.0062,80.3058,0.0029,-80.736,180.011,1909.4022168813112
15,0.192,-176.303,-90.0062,78.8178,0.0029,-79.3162,180.011,3148.7479749003955
16,0.204,-175.38,-90.0062,77.275,0.0029,-77.8442,180.011,4937.163842545387
17,0.21600000000000003,-174.43099999999998,-90.0062,75.69,0.0029,-76.332,180.011,6846.100982766132
18,0.228,-173.46400000000003,-90.0062,74.0747,0.0029,-74.7907,180.011,9167.692702314576
19,0.24,-172.484,-90.0062,72.4385,0.0029,-73.2296,180.011,10686.624811807154
20,0.252,-171.497,-90.0062,70.7897,0.0029,-71.6564,180.011,12119.272975336378
21,0.264,-170.505,-90.0062,69.1347,0.0029,-70.0774,180.011,13735.632995195692
22,0.276,-169.50799999999998,-90.0062,67.4785,0.0029,-68.4971,180.011,14124.699110094774
23,0.28800000000000003,-168.50400000000002,-90.0062,65.8225,0.0029,-66.9171,180.011,13915.641299811303
24,0.3,-167.486,-90.0062,64.1665,0.0029,-65.3371,180.011,13132.794161959713
