Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,554.1667962966819
0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,585.6983481566901
0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,563.7001461061813
0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,515.7176038417733
0.06,-182.669,-90.0062,89.449,0.0029,-89.4598,180.011,557.2858908966548
0.07200000000000001,-182.46099999999998,-90.0062,89.102,0.0029,-89.1287,180.011,590.9677838931051
0.084,-182.18200000000002,-90.0062,88.6357,0.0029,-88.6838,180.011,562.3369440636686
0.096,-181.82299999999998,-90.0062,88.0363,0.0029,-88.1118,180.011,590.2311330274068
0.10800000000000001,-181.38299999999998,-90.0062,87.3012,0.0029,-87.4105,180.011,540.40729702814
0.12,-180.862,-90.0062,86.4312,0.0029,-86.5804,180.011,569.7675375752465
0.132,-180.26,-90.0062,85.4266,0.0029,-85.6218,180.011,550.0560299591727
0.14400000000000002,-179.579,-90.0062,84.2892,0.0029,-84.5366,180.011,669.4057387637181
0.156,-178.828,-90.0062,83.0341,0.0029,-83.3391,180.011,1010.5498061639681
0.168,-178.016,-90.0062,81.6784,0.0029,-82.0456,180.011,1618.6864734989451
0.18,-177.155,-90.0062,80.2394,0.0029,-80.6727,180.011,2623.7642855736876
0.192,-176.253,-90.0062,78.734,0.0029,-79.2362,180.011,4145.829397271627
0.204,-175.321,-90.0062,77.176,0.0029,-77.7498,180.011,6052.5201403485935
0.21600000000000003,-174.364,-90.0062,75.5774,0.0029,-76.2245,180.011,8250.543579789659
0.228,-173.389,-90.0062,73.9498,0.0029,-74.6715,180.011,10216.441194061781
0.24,-172.403,-90.0062,72.3032,0.0029,-73.1005,180.011,11619.105153934046
0.252,-171.412,-90.0062,70.6482,0.0029,-71.5214,180.011,13182.296886161708
0.264,-170.419,-90.0062,68.9921,0.0029,-69.9413,180.011,15113.979483605899
0.276,-169.422,-90.0062,67.3361,0.0029,-68.3613,180.011,15259.288349153667
0.28800000000000003,-168.417,-90.0062,65.68,0.0029,-66.7812,180.011,13987.316918822167
0.3,-167.398,-90.0062,64.0241,0.0029,-65.2013,180.011,12925.009788257996
0.312,-166.357,-90.0062,62.368,0.0029,-63.6211,180.011,11490.221252226598
0.324,-165.285,-90.0062,60.7121,0.0029,-62.0412,180.011,9450.868910632564
0.336,-164.171,-90.0062,59.0557,0.0029,-60.4608,180.011,8448.762176200122
0.348,-163.004,-90.0062,57.4038,0.0029,-58.8846,180.011,7197.467425170061
0.36,-161.782,-90.0062,55.7715,0.0029,-57.3272,180.011,5875.417412876422
0.37200000000000005,-160.505,-90.0062,54.1765,0.0029,-55.8053,180.011,4770.565020734284
0.384,-159.174,-90.0061,52.6358,0.0029,-54.3353,180.011,4118.011647556493
0.396,-157.79399999999998,-90.0061,51.1655,0.0029,-52.9324,180.011,3550.768104867281
0.408,-156.369,-90.0061,49.7779,0.0029,-51.6084,180.011,3988.588981881498
0.42,-154.903,-90.0061,48.4823,0.0029,-50.3723,180.011,4347.164650979512
0.43200000000000005,-153.4,-90.0061,47.2852,0.0029,-49.2302,180.011,4424.185539410045
0.444,-151.864,-90.0061,46.19,0.0029,-48.1853,180.011,5718.442852891757
0.456,-150.299,-90.0061,45.196999999999996,0.0029,-47.2378,180.011,6670.785008502499
0.46799999999999997,-148.708,-90.0061,44.3033,0.0029,-46.3851,180.011,7464.769701751265
0.48,-147.095,-90.0061,43.5042,0.0029,-45.6227,180.011,7226.622428996396
0.49200000000000005,-145.464,-90.0061,42.7933,0.0029,-44.9444,180.011,5292.595772485752
0.504,-143.81799999999998,-90.0061,42.163999999999994,0.0029,-44.343999999999994,180.011,3769.1310396526983
0.516,-142.159,-90.0061,41.6099,0.0029,-43.8152,180.011,2888.1614425544376
0.528,-140.491,-90.0062,41.1245,0.0029,-43.3522,180.011,1139.242818021773
0.54,-138.816,-90.0062,40.702,0.0029,-42.9491,180.011,795.2222126008535
0.552,-137.137,-90.0062,40.3368,0.0029,-42.6006,180.011,563.7225385143045
0.564,-135.457,-90.0062,40.0237,0.0029,-42.3018,180.011,485.0543075382691
0.5760000000000001,-133.77700000000002,-90.0062,39.7574,0.0029,-42.0477,180.011,633.589017379479
0.588,-132.097,-90.0062,39.5328,0.0029,-41.8334,180.011,879.4344574432157
0.6,-130.417,-90.0062,39.3457,0.0029,-41.6548,180.011,1256.2497373458448
0.612,-128.737,-90.0062,39.1916,0.0029,-41.508,180.011,1284.656120510722
0.624,-127.057,-90.0062,39.0668,0.0029,-41.3888,180.011,1422.5937925248852
0.636,-125.37700000000001,-90.0062,38.9676,0.0029,-41.2942,180.011,1694.8882245524467
0.648,-123.697,-90.0062,38.8902,0.0029,-41.2203,180.011,1953.9761783092583
0.66,-122.01700000000001,-90.0062,38.8313,0.0029,-41.1641,180.011,1867.8790099190546
0.672,-120.337,-90.0062,38.7876,0.0029,-41.1224,180.011,2054.3944102186115
0.684,-118.65700000000001,-90.0062,38.7564,0.0029,-41.0927,180.011,1965.020360624209
0.696,-116.977,-90.0062,38.7351,0.0029,-41.0724,180.011,1732.4418071377104
0.708,-115.29700000000001,-90.0062,38.7215,0.0029,-41.0593,180.011,1780.658920841655
0.72,-113.617,-90.0062,38.7133,0.0029,-41.0516,180.011,1901.6011279680677
0.732,-111.93700000000001,-90.0062,38.709,0.0029,-41.0474,180.011,1930.2860277579584
0.7440000000000001,-110.257,-90.0062,38.7069,0.0029,-41.0454,180.011,2212.8872179390705
0.7559999999999999,-108.57700000000001,-90.0062,38.7063,0.0029,-41.0448,180.011,2483.2772254159036
0.768,-106.897,-90.0062,38.7062,0.0029,-41.0447,180.011,2534.7584473458833
0.78,-105.21700000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2444.8712733237817
0.792,-103.537,-90.0062,38.7062,0.0029,-41.0447,180.011,2200.5686652395884
0.804,-101.85700000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2187.8177454242878
0.816,-100.177,-90.0062,38.7062,0.0029,-41.0447,180.011,2066.9633793725598
0.828,-98.49700000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2282.347175174733
0.84,-96.8171,-90.0062,38.7062,0.0029,-41.0447,180.011,2442.4026622130727
0.852,-95.137,-90.0062,38.7062,0.0029,-41.0447,180.011,2483.7452175575277
0.8640000000000001,-93.4571,-90.0062,38.7062,0.0029,-41.0447,180.011,2574.1422611693947
0.8759999999999999,-91.777,-90.0062,38.7062,0.0029,-41.0447,180.011,2424.2737600618207
0.888,-90.09700000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2294.6779368134453
0.9,-88.417,-90.0062,38.7062,0.0029,-41.0447,180.011,2226.9569031319743
0.912,-86.7371,-90.0062,38.7062,0.0029,-41.0447,180.011,2074.5268143893845
