Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,553.5656721708145
0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,558.6692718004707
0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,551.1557041035232
0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,604.3348801263729
0.06,-182.669,-90.0062,89.449,0.0029,-89.4598,180.011,569.1009725314071
0.07200000000000001,-182.46099999999998,-90.0062,89.102,0.0029,-89.1287,180.011,597.1789622881658
0.084,-182.18200000000002,-90.0062,88.6357,0.0029,-88.6838,180.011,554.7707948778586
0.096,-181.82299999999998,-90.0062,88.0366,0.0029,-88.1121,180.011,573.0014448315138
0.10800000000000001,-181.38299999999998,-90.0062,87.302,0.0029,-87.4113,180.011,600.1650881733312
0.12,-180.863,-90.0062,86.4326,0.0029,-86.5817,180.011,550.1817382708264
0.132,-180.264,-90.0062,85.4328,0.0029,-85.6278,180.011,593.1688870318073
0.14400000000000002,-179.593,-90.0062,84.3118,0.0029,-84.5582,180.011,675.3100947555831
0.156,-178.856,-90.0062,83.0814,0.0029,-83.3842,180.011,1016.5347435880835
0.168,-178.062,-90.0062,81.7546,0.0029,-82.1183,180.011,1720.6170020474697
0.18,-177.218,-90.0062,80.3457,0.0029,-80.774,180.011,2635.673325890108
0.192,-176.334,-90.0062,78.8683,0.0029,-79.3644,180.011,4306.132337397225
0.204,-175.416,-90.0062,77.3356,0.0029,-77.902,180.011,6156.520232572132
0.21600000000000003,-174.47299999999998,-90.0062,75.76,0.0029,-76.3987,180.011,8361.773871846788
0.228,-173.51,-90.0062,74.1525,0.0029,-74.865,180.011,10291.967407587928
0.24,-172.53400000000002,-90.0062,72.5226,0.0029,-73.3098,180.011,11520.539759805
0.252,-171.55,-90.0062,70.8781,0.0029,-71.7408,180.011,13040.867022554721
0.264,-170.55900000000003,-90.0062,69.2254,0.0029,-70.1639,180.011,13718.05286327025
0.276,-169.563,-90.0062,67.5696,0.0029,-68.5841,180.011,13716.285936949378
0.28800000000000003,-168.55900000000003,-90.0062,65.9136,0.0029,-67.0041,180.011,13099.571938923225
0.3,-167.543,-90.0062,64.2576,0.0029,-65.4241,180.011,12109.75722917586
0.312,-166.50599999999997,-90.0062,62.6017,0.0029,-63.8441,180.011,11250.618669346477
0.324,-165.438,-90.0062,60.9454,0.0029,-62.2637,180.011,9601.180883990723
0.336,-164.332,-90.0062,59.2914,0.0029,-60.6857,180.011,8646.185860789512
0.348,-163.181,-90.0062,57.648999999999994,0.0029,-59.1186,180.011,7398.245711903754
0.36,-161.981,-90.0062,56.0305,0.0029,-57.5743,180.011,6340.833530645841
0.37200000000000005,-160.73,-90.0062,54.45,0.0029,-56.0663,180.011,5106.553318515427
0.384,-159.429,-90.0061,52.9217,0.0029,-54.6081,180.011,4866.242764767735
0.396,-158.079,-90.0061,51.4584,0.0029,-53.2119,180.011,3934.163013302891
0.408,-156.68200000000002,-90.0061,50.0711,0.0029,-51.8883,180.011,3693.8119658840715
0.42,-155.241,-90.0061,48.7693,0.0029,-50.6462,180.011,4305.55223207108
0.43200000000000005,-153.76,-90.0061,47.56,0.0029,-49.4924,180.011,4420.580864937481
0.444,-152.24200000000002,-90.0061,46.448,0.0029,-48.4314,180.011,5712.83207505702
0.456,-150.691,-90.0061,45.4351,0.0029,-47.4649,180.011,6415.361301883786
0.46799999999999997,-149.112,-90.0061,44.5199,0.0029,-46.5917,180.011,5943.517054835461
0.48,-147.50799999999998,-90.0061,43.699,0.0029,-45.8086,180.011,5670.710120558544
0.49200000000000005,-145.88299999999998,-90.0061,42.967,0.0029,-45.1101,180.011,4854.593487029462
0.504,-144.241,-90.0061,42.3178,0.0029,-44.4908,180.011,3100.977308366216
0.516,-142.586,-90.0061,41.7452,0.0029,-43.9444,180.011,2688.735688327284
0.528,-140.92,-90.0062,41.2429,0.0029,-43.4651,180.011,1794.6361766352718
0.54,-139.247,-90.0062,40.805,0.0029,-43.0474,180.011,1234.6300943915714
0.552,-137.57,-90.0062,40.4258,0.0029,-42.6855,180.011,1237.4143039935539
0.564,-135.891,-90.0062,40.0998,0.0029,-42.3745,180.011,1070.9355296153972
0.5760000000000001,-134.211,-90.0062,39.8219,0.0029,-42.1093,180.011,1213.1795950189867
0.588,-132.531,-90.0062,39.586999999999996,0.0029,-41.8851,180.011,1172.5996406492159
0.6,-130.851,-90.0062,39.3906,0.0029,-41.6977,180.011,1058.4966025277797
0.612,-129.171,-90.0062,39.2284,0.0029,-41.5431,180.011,1393.310798072378
0.624,-127.491,-90.0062,39.0964,0.0029,-41.4171,180.011,1436.264360799616
0.636,-125.811,-90.0062,38.991,0.0029,-41.3165,180.011,1697.0025953122276
0.648,-124.131,-90.0062,38.9083,0.0029,-41.2375,180.011,1889.620116163171
0.66,-122.45100000000001,-90.0062,38.8449,0.0029,-41.1771,180.011,2096.296410717141
0.672,-120.771,-90.0062,38.7976,0.0029,-41.1319,180.011,1948.7709583699705
0.684,-119.09100000000001,-90.0062,38.7634,0.0029,-41.0994,180.011,1778.4827833774682
0.696,-117.41,-90.0062,38.7398,0.0029,-41.0769,180.011,1801.802377462192
0.708,-115.73,-90.0062,38.7244,0.0029,-41.0621,180.011,1814.9841205269195
0.72,-114.051,-90.0062,38.715,0.0029,-41.0532,180.011,1646.961869742081
0.732,-112.37100000000001,-90.0062,38.7098,0.0029,-41.0482,180.011,2028.6622141504174
0.7440000000000001,-110.691,-90.0062,38.7073,0.0029,-41.0458,180.011,2239.951819664494
0.7559999999999999,-109.01,-90.0062,38.7064,0.0029,-41.0449,180.011,2388.7229211862686
0.768,-107.331,-90.0062,38.7062,0.0029,-41.0447,180.011,2574.993578795344
0.78,-105.65100000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2355.1159431694227
0.792,-103.971,-90.0062,38.7062,0.0029,-41.0447,180.011,2287.547858954875
0.804,-102.29,-90.0062,38.7062,0.0029,-41.0447,180.011,2087.9047752793863
0.816,-100.611,-90.0062,38.7062,0.0029,-41.0447,180.011,2150.562798122901
0.828,-98.9306,-90.0062,38.7062,0.0029,-41.0447,180.011,2379.9785824358796
0.84,-97.2505,-90.0062,38.7062,0.0029,-41.0447,180.011,2101.0932531412836
0.852,-95.5706,-90.0062,38.7062,0.0029,-41.0447,180.011,2540.1837343417997
0.8640000000000001,-93.8905,-90.0062,38.7062,0.0029,-41.0447,180.011,2703.5114840900424
0.8759999999999999,-92.2106,-90.0062,38.7062,0.0029,-41.0447,180.011,2324.332126739889
0.888,-90.5305,-90.0062,38.7062,0.0029,-41.0447,180.011,2367.2180574229783
0.9,-88.8506,-90.0062,38.7062,0.0029,-41.0447,180.011,2084.784484094691
0.912,-87.1705,-90.0062,38.7062,0.0029,-41.0447,180.011,2349.8116076588485
0.924,-85.4906,-90.0062,38.7062,0.0029,-41.0447,180.011,2267.781608048253
0.9359999999999999,-83.8105,-90.0062,38.7062,0.0029,-41.0447,180.011,2259.1070977044765
0.948,-82.1306,-90.0062,38.7062,0.0029,-41.0447,180.011,2339.2493907488333
0.96,-80.4506,-90.0062,38.7062,0.0029,-41.0447,180.011,2730.251747449633
0.972,-78.7705,-90.0062,38.7062,0.0029,-41.0447,180.011,2375.5940623741017
0.9840000000000001,-77.0906,-90.0062,38.7062,0.0029,-41.0447,180.011,2166.2673572515178
0.996,-75.4105,-90.0062,38.7062,0.0029,-41.0447,180.011,2380.3240809312065
1.008,-73.7303,-90.0062,38.7062,0.0029,-41.0447,180.011,2181.2127166392243
1.02,-72.0505,-90.0062,38.7062,0.0029,-41.0447,180.011,2248.19128285828
1.032,-70.3707,-90.0062,38.7063,0.0029,-41.0447,180.011,2431.5095862598237
1.044,-68.6909,-90.0061,38.7068,0.0029,-41.0447,180.011,2380.443630950961
1.056,-67.01100000000001,-90.0056,38.7088,0.0029,-41.0445,180.011,2420.117153333008
1.068,-65.3312,-90.0045,38.7138,0.0029,-41.0439,180.011,2411.87138787574
1.08,-63.65,-90.0022,38.7238,0.0029,-41.0428,180.011,2224.4583822129925
1.092,-61.9702,-89.9982,38.7418,0.0029,-41.0408,180.011,2389.0341662038336
1.104,-60.2917,-89.9915,38.7709,0.0029,-41.0377,180.011,2192.7171853226127
