,Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0,0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,605.8623365569042
1,0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,572.2139651631309
2,0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,560.4646873994046
3,0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,565.9330324991829
4,0.06,-182.669,-90.0062,89.449,0.0029,-89.4598,180.011,533.8732071804903
5,0.07200000000000001,-182.46099999999998,-90.0062,89.102,0.0029,-89.1287,180.011,580.2927531270536
6,0.084,-182.18200000000002,-90.0062,88.6357,0.0029,-88.6838,180.011,533.0142209821388
7,0.096,-181.82299999999998,-90.0062,88.0363,0.0029,-88.1118,180.011,550.1542083187387
8,0.10800000000000001,-181.38299999999998,-90.0062,87.3012,0.0029,-87.4105,180.011,576.0931839300591
9,0.12,-180.862,-90.0062,86.4312,0.0029,-86.5804,180.011,574.0637458165438
10,0.132,-180.26,-90.0062,85.4266,0.0029,-85.6218,180.011,576.6554703104786
11,0.14400000000000002,-179.579,-90.0062,84.2892,0.0029,-84.5366,180.011,747.2865359201533
12,0.156,-178.828,-90.0062,83.03399999999999,0.0029,-83.339,180.011,1129.300229745502
13,0.168,-178.016,-90.0062,81.6781,0.0029,-82.0453,180.011,1878.2150016972566
14,0.18,-177.15400000000002,-90.0062,80.2389,0.0029,-80.6721,180.011,2921.349871943773
15,0.192,-176.253,-90.0062,78.7333,0.0029,-79.2355,180.011,4762.7973142644705
16,0.204,-175.32,-90.0062,77.1752,0.0029,-77.7491,180.011,6577.068167600741
17,0.21600000000000003,-174.363,-90.0062,75.5767,0.0029,-76.2239,180.011,8886.373509858562
18,0.228,-173.388,-90.0062,73.9487,0.0029,-74.6705,180.011,10610.531195579348
19,0.24,-172.40200000000002,-90.0062,72.3017,0.0029,-73.09899999999999,180.011,11933.8971425935
20,0.252,-171.41099999999997,-90.0062,70.6465,0.0029,-71.5197,180.011,13726.984538002482
21,0.264,-170.418,-90.0062,68.9903,0.0029,-69.9396,180.011,15257.182305947446
22,0.276,-169.421,-90.0062,67.3344,0.0029,-68.3597,180.011,14893.099595868782
23,0.28800000000000003,-168.416,-90.0062,65.6784,0.0029,-66.7796,180.011,13475.173968896217
24,0.3,-167.39700000000002,-90.0062,64.0223,0.0029,-65.1996,180.011,12542.4595981134
25,0.312,-166.356,-90.0062,62.3663,0.0029,-63.6195,180.011,10883.87906079865
26,0.324,-165.28400000000002,-90.0062,60.7105,0.0029,-62.0396,180.011,8802.514848744213
27,0.336,-164.169,-90.0062,59.053999999999995,0.0029,-60.4591,180.011,8211.780782291053
28,0.348,-163.002,-90.0062,57.402,0.0029,-58.8828,180.011,6648.108945161765
29,0.36,-161.78,-90.0062,55.7695,0.0029,-57.3253,180.011,5475.954093747429
30,0.37200000000000005,-160.503,-90.0062,54.174,0.0029,-55.803000000000004,180.011,4374.953291917569
31,0.384,-159.172,-90.0061,52.6329,0.0029,-54.3325,180.011,3929.436230472162
32,0.396,-157.791,-90.0061,51.1621,0.0029,-52.9292,180.011,3378.8340834015457
33,0.408,-156.366,-90.0061,49.7745,0.0029,-51.6052,180.011,4212.642635664077
34,0.42,-154.899,-90.0061,48.4789,0.0029,-50.3691,180.011,4211.96457388076
35,0.43200000000000005,-153.39600000000002,-90.0061,47.2819,0.0029,-49.2271,180.011,4568.810256251626
36,0.444,-151.859,-90.0061,46.187,0.0029,-48.1824,180.011,5978.50267849356
37,0.456,-150.29399999999998,-90.0061,45.1943,0.0029,-47.2352,180.011,6924.419956312109
38,0.46799999999999997,-148.703,-90.0061,44.3009,0.0029,-46.3828,180.011,7371.135052389506
39,0.48,-147.091,-90.0061,43.5022,0.0029,-45.6207,180.011,6664.822814775155
40,0.49200000000000005,-145.46,-90.0061,42.7915,0.0029,-44.9426,180.011,4766.601981474746
41,0.504,-143.814,-90.0061,42.1624,0.0029,-44.3425,180.011,3375.0104976974485
42,0.516,-142.155,-90.0061,41.6086,0.0029,-43.8139,180.011,2424.7887554972986
43,0.528,-140.487,-90.0062,41.1233,0.0029,-43.3511,180.011,930.595406102576
44,0.54,-138.812,-90.0062,40.701,0.0029,-42.9481,180.011,562.5508537787939
45,0.552,-137.13299999999998,-90.0062,40.3359,0.0029,-42.5998,180.011,548.2424208703828
46,0.564,-135.453,-90.0062,40.023,0.0029,-42.3011,180.011,485.60647100174725
47,0.5760000000000001,-133.773,-90.0062,39.7567,0.0029,-42.0471,180.011,638.2390474936071
48,0.588,-132.093,-90.0062,39.5323,0.0029,-41.8329,180.011,877.6661020745386
49,0.6,-130.41299999999998,-90.0062,39.3452,0.0029,-41.6544,180.011,1189.2626235569046
50,0.612,-128.733,-90.0062,39.1913,0.0029,-41.5076,180.011,1213.9438605677444
51,0.624,-127.053,-90.0062,39.0666,0.0029,-41.3886,180.011,1487.3763099640173
52,0.636,-125.37299999999999,-90.0062,38.9674,0.0029,-41.294,180.011,1767.0786065746852
53,0.648,-123.693,-90.0062,38.89,0.0029,-41.2201,180.011,1883.8708849378713
54,0.66,-122.01299999999999,-90.0062,38.8311,0.0029,-41.1639,180.011,1901.8290021568318
55,0.672,-120.333,-90.0062,38.7875,0.0029,-41.1223,180.011,2120.4648230720413
56,0.684,-118.65299999999999,-90.0062,38.7563,0.0029,-41.0927,180.011,1754.6772821786374
57,0.696,-116.973,-90.0062,38.7351,0.0029,-41.0724,180.011,1710.8275397839952
58,0.708,-115.29299999999999,-90.0062,38.7214,0.0029,-41.0593,180.011,1807.5419051095735
59,0.72,-113.613,-90.0062,38.7133,0.0029,-41.0516,180.011,1744.3899742080105
60,0.732,-111.93299999999999,-90.0062,38.709,0.0029,-41.0474,180.011,2078.358630594591
61,0.7440000000000001,-110.25299999999999,-90.0062,38.7069,0.0029,-41.0454,180.011,2271.5442304327617
62,0.7559999999999999,-108.573,-90.0062,38.7063,0.0029,-41.0448,180.011,2523.41925835203
63,0.768,-106.89299999999999,-90.0062,38.7062,0.0029,-41.0447,180.011,2549.7128468968153
64,0.78,-105.213,-90.0062,38.7062,0.0029,-41.0447,180.011,2293.369931247229
65,0.792,-103.53299999999999,-90.0062,38.7062,0.0029,-41.0447,180.011,2209.257927143001
66,0.804,-101.853,-90.0062,38.7062,0.0029,-41.0447,180.011,2051.4611594728503
67,0.816,-100.17299999999999,-90.0062,38.7062,0.0029,-41.0447,180.011,2094.2060205869448
