[HEADER]
GEAR_NOMINAL_VEL = 1.0
NUM_ROB_JOINTS = 6
CRC = 216159436
[RECORDS]
0	-10	-130	79.9999	160	25	20
0.012	-10.0009	-129.995	80.0024	160	25.0002	19.9993
0.024	-10.0046	-129.976	80.0125	160.003	25.0011	19.9966
0.036	-10.0123	-129.934	80.0339	160.008	25.0028	19.9907
0.048	-10.0258	-129.862	80.0711	160.017	25.0058	19.9805
0.06	-10.0448	-129.76	80.1239	160.029	25.0102	19.966
0.072	-10.0685	-129.634	80.1892	160.044	25.0155	19.948
0.084	-10.0958	-129.488	80.2646	160.062	25.0217	19.9273
0.096	-10.1263	-129.325	80.3489	160.082	25.0286	19.9042
0.108	-10.1597	-129.146	80.4414	160.103	25.0362	19.8788
0.12	-10.1958	-128.953	80.5411	160.127	25.0444	19.8514
0.132	-10.2343	-128.748	80.6474	160.152	25.0531	19.8222
0.144	-10.2749	-128.531	80.7595	160.178	25.0623	19.7913
0.156	-10.3177	-128.303	80.8776	160.205	25.0719	19.7589
0.168	-10.3623	-128.065	81.0012	160.234	25.0821	19.7249
0.18	-10.4086	-127.817	81.1291	160.264	25.0926	19.6898
0.192	-10.4566	-127.56	81.2617	160.295	25.1035	19.6533
0.204	-10.5064	-127.294	81.3992	160.327	25.1147	19.6156
0.216	-10.5577	-127.02	81.5411	160.361	25.1263	19.5766
0.228	-10.6105	-126.739	81.6869	160.395	25.1383	19.5366
0.24	-10.6645	-126.45	81.8362	160.43	25.1506	19.4956
0.252	-10.7198	-126.153	81.9891	160.466	25.1631	19.4536
0.264	-10.7766	-125.85	82.1456	160.503	25.1759	19.4105
0.276	-10.8345	-125.541	82.3052	160.54	25.189	19.3666
0.288	-10.8932	-125.224	82.4669	160.578	25.2023	19.3221
0.3	-10.9529	-124.902	82.6307	160.617	25.2158	19.2769
0.312	-11.0134	-124.574	82.7964	160.656	25.2295	19.231
0.324	-11.0746	-124.24	82.9632	160.695	25.2434	19.1846
0.336	-11.1363	-123.9	83.1303	160.735	25.2573	19.138
0.348	-11.1984	-123.555	83.2973	160.774	25.2712	19.0913
0.36	-11.2608	-123.205	83.4639	160.814	25.2852	19.0443
0.372	-11.3234	-122.849	83.6295	160.854	25.2993	18.9973
0.384	-11.3859	-122.489	83.7932	160.894	25.3133	18.9505
0.396	-11.4483	-122.123	83.9547	160.933	25.3272	18.9039
0.408	-11.5105	-121.753	84.1133	160.972	25.341	18.8577
0.42	-11.5722	-121.379	84.2685	161.011	25.3547	18.8119
0.432	-11.6335	-120.999	84.4197	161.049	25.3682	18.7666
0.444	-11.694	-120.616	84.5662	161.086	25.3815	18.7222
0.456	-11.7537	-120.228	84.7076	161.123	25.3946	18.6786
0.468	-11.8125	-119.836	84.8432	161.159	25.4075	18.6359
0.48	-11.8702	-119.44	84.9726	161.193	25.42	18.5942
0.492	-11.9267	-119.04	85.095	161.227	25.4321	18.5537
0.504	-11.9819	-118.636	85.2101	161.259	25.4438	18.5145
0.516	-12.0356	-118.229	85.3174	161.291	25.4552	18.4767
0.528	-12.0878	-117.818	85.4165	161.32	25.4662	18.4402
0.54	-12.1385	-117.403	85.507	161.349	25.4768	18.4053
0.552	-12.1875	-116.985	85.5885	161.376	25.4868	18.3719
0.564	-12.2347	-116.564	85.6608	161.402	25.4963	18.3403
0.576	-12.2801	-116.139	85.7235	161.426	25.5054	18.3103
0.588	-12.3235	-115.712	85.7766	161.448	25.514	18.2821
